0.00	0.00
11.99	7.36
24.99	15.34
36.99	22.71
49.99	30.70
59.99	36.84
69.99	42.98
89.99	55.26
99.99	61.40
109.99	67.54
119.99	73.68
129.99	79.82
139.99	85.96
159.99	98.24
169.99	104.38
189.99	116.66
199.99	122.80
209.99	128.94
219.99	135.08
239.99	147.36
249.99	153.50
259.99	159.64
269.99	165.78
289.99	178.06
299.99	184.20
309.99	190.34
319.99	196.49
339.99	208.77
349.99	214.91
359.99	221.05
369.99	227.19
389.99	239.47
399.99	245.61
409.99	251.75
419.99	257.89
439.99	270.17
449.99	276.31
459.99	282.45
469.99	288.59
489.99	300.87
499.99	307.01
509.99	313.15
519.99	319.29
529.99	325.43
539.99	331.57
549.99	337.71
559.99	343.85
569.99	349.99
579.99	356.13
589.99	362.27
599.99	368.41
649.99	399.12
699.99	429.82
799.99	491.22
849.99	521.92
899.99	552.63
999.99	614.03
1049.99	644.73
1099.99	675.43
1149.99	706.13
1199.99	736.84
1299.99	798.24
1399.99	859.64
1499.99	921.05
1599.99	982.45
1699.99	1043.85
1899.99	1166.66
1999.99	1228.06
2099.99	1289.47
2199.99	1350.87
2299.99	1412.27
2399.99	1473.68
2499.99	1535.08
2599.99	1596.49
2699.99	1657.89
2799.99	1719.29
2899.99	1780.70
2999.99	1842.10
3499.99	2149.12
4499.99	2763.15
4999.99	3070.17
5499.99	3377.19
5999.99	3684.20
6999.99	4298.24
8999.99	5526.31
9999.99	6140.34
10999.99	6754.38
11999.99	7368.41
