0.00	0.00
1.99	1.39
4.29	3.00
6.49	4.54
8.49	5.94
10.49	7.34
12.99	9.09
14.99	10.49
16.99	11.89
18.99	13.29
20.99	14.69
22.99	16.09
24.99	17.49
27.99	19.59
29.99	20.99
31.99	22.39
33.99	23.79
35.99	25.19
37.99	26.59
39.99	27.99
41.99	29.39
43.99	30.79
45.99	32.19
47.99	33.59
49.99	34.99
52.99	37.09
54.99	38.49
56.99	39.89
58.99	41.29
60.99	42.69
62.99	44.09
64.99	45.49
66.99	46.89
69.99	48.99
71.99	50.39
73.99	51.79
75.99	53.19
77.99	54.59
79.99	55.99
81.99	57.39
84.99	59.49
86.99	60.89
88.99	62.29
90.99	63.69
92.99	65.09
94.99	66.49
96.99	67.89
98.99	69.29
100.99	70.69
102.99	72.09
104.99	73.49
119.99	83.99
129.99	90.99
139.99	97.99
149.99	104.99
159.99	111.99
169.99	118.99
179.99	125.99
189.99	132.99
199.99	139.99
209.99	146.99
229.99	160.99
249.99	174.99
269.99	188.99
279.99	195.99
299.99	209.99
319.99	223.99
339.99	237.99
359.99	251.99
369.99	258.99
379.99	265.99
399.99	279.99
419.99	293.99
439.99	307.99
459.99	321.99
479.99	335.99
499.99	349.99
549.99	384.99
649.99	454.99
749.99	524.99
849.99	594.99
949.99	664.99
1049.99	734.99
1299.99	909.99
1499.99	1049.99
1699.99	1189.99
1899.99	1329.99
2099.99	1469.99
