0.00	0.00
3.69	2.58
7.29	5.10
10.99	7.69
14.99	10.49
17.99	12.59
20.99	14.69
24.99	17.49
29.99	20.99
32.99	23.09
36.99	25.89
39.99	27.99
44.99	31.49
47.99	33.59
49.99	34.99
54.99	38.49
59.99	41.99
64.99	45.49
67.99	47.59
69.99	48.99
74.99	52.49
77.99	54.59
79.99	55.99
84.99	59.49
87.99	61.59
89.99	62.99
94.99	66.49
99.99	69.99
104.99	73.49
107.99	75.59
109.99	76.99
114.99	80.49
117.99	82.59
119.99	83.99
124.99	87.49
127.99	89.59
129.99	90.99
134.99	94.49
139.99	97.99
144.99	101.49
147.99	103.59
149.99	104.99
154.99	108.49
157.99	110.59
159.99	111.99
164.99	115.49
167.99	117.59
169.99	118.99
174.99	122.49
179.99	125.99
184.99	129.49
199.99	139.99
219.99	153.99
229.99	160.99
249.99	174.99
279.99	195.99
299.99	209.99
319.99	223.99
329.99	230.99
349.99	244.99
369.99	258.99
399.99	279.99
429.99	300.99
449.99	314.99
479.99	335.99
499.99	349.99
549.99	384.99
579.99	405.99
599.99	419.99
649.99	454.99
679.99	475.99
699.99	489.99
749.99	524.99
779.99	545.99
799.99	559.99
849.99	594.99
879.99	615.99
899.99	629.99
1099.99	769.99
1299.99	909.99
1499.99	1049.99
1599.99	1119.99
1799.99	1259.99
2199.99	1539.99
2499.99	1749.99
2999.99	2099.99
3299.99	2309.99
3699.99	2589.99
