0	0
100	70
200	140
300	210
400	280
500	350
600	420
700	490
800	560
900	630
1000	700
1100	770
1200	840
1300	910
1400	980
1500	1050
1600	1120
1700	1190
1800	1260
1900	1330
2000	1400
2100	1470
2200	1540
2300	1610
2400	1680
2500	1750
2600	1820
2700	1890
2800	1960
2900	2030
3000	2100
3100	2170
3200	2240
3300	2310
3400	2380
3500	2450
3600	2520
3700	2590
3800	2660
3900	2730
4000	2800
4100	2870
4200	2940
4300	3010
4400	3080
4500	3150
4600	3220
4700	3290
4800	3360
4900	3430
5000	3500
5400	3780
5800	4060
6400	4480
6800	4760
7400	5180
7800	5460
8400	5880
8800	6160
9400	6580
9800	6860
10800	7560
11800	8260
12400	8680
12800	8960
13800	9660
14800	10360
15800	11060
16800	11760
17400	12180
17800	12460
18800	13160
19800	13860
20800	14560
21800	15260
22800	15960
23800	16660
24800	17360
28800	20160
34800	24360
38800	27160
44800	31360
48800	34160
58800	41160
68800	48160
78800	55160
88800	62160
98800	69160
